title,price,location,date,link,image_url
Independent Home with covered car parking in Gated Community,"₹ 75,00,000","BABARPUR, DELHI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-900-sq-ft-in-babarpur-delhi-iid-1808461223,N/A
"2BHK 896Sq. ft. flat with covered car parking, for sale in Eden Lake","₹ 36,00,000","TOLLYGUNGE, KOLKATA",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616,N/A
"Lift , Covered Car parking , CCTV facility, Gated Community","₹ 54,16,500","THORAIPAKKAM, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-942-sq-ft-in-thoraipakkam-chennai-iid-1790552159,N/A
Kwid car wheel covers 2 pcs,₹ 700,"BABUL REDDY NAGAR, HYDERABAD",N/A,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-babul-reddy-nagar-hyderabad-iid-1811419943,N/A
Seltos GT Line brand new car seat covers,"₹ 4,000","RENUKA GATED COLONY, ANANTAPUR",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-renuka-gated-colony-anantapur-iid-1811415923,N/A
SMALL CAR COVER,₹ 400,"PUTHUR, CHENNAI",N/A,https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1810256718,N/A
Kilambakkam 2 BHK Flat for Sale with Covered Car Parking,"₹ 34,00,000","URAPAKKAM, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1120-sq-ft-in-urapakkam-chennai-iid-1810008790,N/A
2bhk ready to move flat+2toilet+ 1 covered car parking and lift,"₹ 48,00,000","SECTOR 49, NOIDA",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-sector-49-noida-iid-1809890439,N/A
Car covered parking (apartment) 1000,N/A,"HANSAPAL, BHUBANESHWAR",N/A,https://www.olx.in/item/other-services-c625-car-covered-parking-apartment-1000-in-hansapal-bhubaneshwar-iid-1810690145,N/A
2BHK house with covered car parking for rent in east tambaram,"₹ 14,000","IRUMBULIYUR, CHENNAI",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-851-sq-ft-in-irumbuliyur-chennai-iid-1811386082,N/A
Madambakkam 1 BHK Flat for Sale with Covered Car Parking,"₹ 25,00,000","GUDUVANCHERY, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-795-sq-ft-in-guduvanchery-chennai-iid-1811383701,N/A
Sholinganallur 2 BHK Flat for Sale with Covered Car Parking,"₹ 43,00,000","SHOLINGANALLUR, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-sholinganallur-chennai-iid-1811380923,N/A
Swift car seat cover,"₹ 2,600","CHERUKUNNU, PARAPPUR",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-cherukunnu-parappur-iid-1811375433,N/A
WagonR Car full cover,₹ 900,"TAMBARAM EAST SELAIYUR, TAMBARAM",N/A,https://www.olx.in/item/other-household-items-c293-wagonr-car-full-cover-in-tambaram-east-selaiyur-tambaram-iid-1811371532,N/A
Car cover for Renault Triber UV Protection and All Model Suitable,"₹ 2,999","SILICON VALLEY, HYDERABAD",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-silicon-valley-hyderabad-iid-1811366698,N/A
Alto 800 car mud flaps and window sun shade cover,₹ 500,"JILLELA GUDA, HYDERABAD",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-jillela-guda-hyderabad-iid-1811365795,N/A
Corner independent house with covered car parking available,"₹ 30,000","OLD RAYAKOTTAH HUDCO, HOSUR",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-2750-sq-ft-in-old-rayakottah-hudco-hosur-iid-1811364690,N/A
50 Gaj Double Story Home with covered car Parking Near Badarpur Metro,"₹ 45,50,000","ASHRAM, DELHI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-450-sq-ft-in-ashram-delhi-iid-1811362489,N/A
Covered car parking for rent at Velachery,"₹ 4,000","VELACHERI, CHENNAI",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-velacheri-chennai-iid-1791962543,N/A
Swift Car body covers,₹ 499,"KAMPTEE ROAD, NAGPUR",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kamptee-road-nagpur-iid-1811334153,N/A
2 bhk apartment with 2 attached bathroom with covered car parking,"₹ 13,000","SA NAGAR, KARAIKAL",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-sa-nagar-karaikal-iid-1809488776,N/A
"2bhk independent flat, with covered car parking in Palm city","₹ 22,000","PATTHRIBAGH, DEHRADUN",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-patthribagh-dehradun-iid-1811330493,N/A
2 BHK -two balcony flat with cover car parking,"₹ 23,000","PUNAWALE, PUNE",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-990-sq-ft-in-punawale-pune-iid-1811329148,N/A
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000","MIRA ROAD, MUMBAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820,N/A
All cars side mirror cover abs plastic piano black batman style,"₹ 2,000","AKASHI NAGAR, GUWAHATI",N/A,https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-abs-plastic-piano-black-batman-style-in-akashi-nagar-guwahati-iid-1810233785,N/A
2BHK fully furnished flat available for rent with covered car parking,"₹ 16,500","BAMUNARA, DURGAPUR",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-925-sq-ft-in-bamunara-durgapur-iid-1811311990,N/A
Wagon r car Body cover and spoiler,"₹ 1,200","WHITEFIELD, BENGALURU",N/A,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-whitefield-bengaluru-iid-1810946333,N/A
Non-negotiable 2BHK Flat with covered car parking ready for rent,"₹ 11,000","NIRALA NAGAR, PATNA",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-nirala-nagar-patna-iid-1811302028,N/A
New 2 BHK with Covered Car parking,"₹ 59,00,000","PADUR, KOVALAM",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-748-sq-ft-in-padur-kovalam-iid-1811296083,N/A
"Fully furnished 2BHK, covered car parking Vinayagapuram, Kolathur","₹ 25,000","KOLATHUR, CHENNAI",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1900-sq-ft-in-kolathur-chennai-iid-1811283641,N/A
Tata nexon 2022 model car seat covers,"₹ 3,000","KUKATPALLY, HYDERABAD",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kukatpally-hyderabad-iid-1809000481,N/A
Large Size 3 bhk with cover Car parking at NIBM,"₹ 1,45,00,000","NIBM ROAD KONDHWA, PUNE",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-nibm-road-kondhwa-pune-iid-1746430836,N/A
2 Bedroom Hall Kitchen + Small Car Covered Parking,"₹ 11,000","BUXI BAZAAR, CUTTACK",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1500-sq-ft-in-buxi-bazaar-cuttack-iid-1810211679,N/A
Covered Car parking at Tarabai Park,"₹ 1,800","TARABAI PARK, KOLHAPUR",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-120-sq-ft-in-tarabai-park-kolhapur-iid-1808039321,N/A
Alto Car body cover,₹ 499,"GAJUWAKA, VISAKHAPATNAM",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gajuwaka-visakhapatnam-iid-1809609734,N/A
All cars batman side mirror cover abs,"₹ 1,999","BALAMRAI ANNA NAGAR, SECUNDERABAD",N/A,https://www.olx.in/item/spare-parts-c1585-all-cars-batman-side-mirror-cover-abs-in-balamrai-anna-nagar-secunderabad-iid-1808598620,https://apollo.olx.in/v1/files/trs061194up92-IN/image;s=150x0;q=50;f=webp;
Honda Mobilio 2015 powerfull ac new seat cover cng big tank,"₹ 3,40,000","UMIYA NAGAR, AHMEDABAD",N/A,https://www.olx.in/item/cars-c84-used-honda-mobilio-in-umiya-nagar-ahmedabad-iid-1810530805,https://apollo.olx.in/v1/files/071lw23uvuvq-IN/image;s=150x0;q=50;f=webp;
Covered car parking available near Dadabhai club deshbandhupara,"₹ 3,000","DESHBANDHUPARA, SILIGURI",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-200-sq-ft-in-deshbandhupara-siliguri-iid-1809662843,https://apollo.olx.in/v1/files/vj33l6a7rxxl2-IN/image;s=150x0;q=50;f=webp;
2bhk semi furnished resale property gated socity covered car parking,"₹ 34,99,000","SECTOR 1 NOIDA EXTENSION, GREATER NOIDA",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-975-sq-ft-in-sector-1-noida-extension-greater-noida-iid-1810396749,https://apollo.olx.in/v1/files/o9ihavil57aj-IN/image;s=150x0;q=50;f=webp;
2 BHK house for rent. East facing property with 1 covered car park,"₹ 22,000","KOTHANUR, BENGALURU",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1650-sq-ft-in-kothanur-bengaluru-iid-1811152068,https://apollo.olx.in/v1/files/66k4kjjqfxdg2-IN/image;s=150x0;q=50;f=webp;
